# void_thickness  steepness
6.039414e-02 2.000000e+02
1.458986e-01 2.000000e+02
1.078251e-01 2.000000e+02
1.813378e-01 2.000000e+02
4.212527e-03 2.000000e+02
4.529626e-02 2.000000e+02
4.223122e-02 2.000000e+02
1.427849e-01 2.000000e+02
9.819095e-02 2.000000e+02
1.063102e-01 2.000000e+02
1.992147e-02 2.000000e+02
1.848155e-01 2.000000e+02
1.283594e-01 2.000000e+02
1.196631e-01 2.000000e+02
1.730673e-01 2.000000e+02
2.490826e-01 2.000000e+02
1.091606e-02 2.000000e+02
7.109411e-02 2.000000e+02
2.303283e-01 2.000000e+02
1.660216e-01 2.000000e+02
1.598053e-01 2.000000e+02
2.173376e-01 2.000000e+02
1.513208e-01 2.000000e+02
1.990772e-01 2.000000e+02
2.231285e-01 2.000000e+02
3.079968e-02 2.000000e+02
8.934281e-02 2.000000e+02
1.367197e-01 2.000000e+02
2.325160e-01 2.000000e+02
1.882577e-01 2.000000e+02
1.877379e-02 2.000000e+02
2.117865e-01 2.000000e+02
8.115644e-02 2.000000e+02
6.618764e-02 2.000000e+02
3.383095e-02 2.000000e+02
5.084415e-02 2.000000e+02
2.042196e-01 2.000000e+02
1.175314e-01 2.000000e+02
8.712642e-02 2.000000e+02
2.393047e-01 2.000000e+02
